Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-06-22,735.0,737.75,720.1,724.75,729.1,2629.0,252.0,1916804.0,936.0,35.6,17.65,-10.25
2017-06-21,743.9,745.6,728.8,733.85,744.91,253302.0,259.0,188687287.0,251740.0,99.38,16.8,-10.05
2017-06-20,754.9,754.9,727.2,744.9,742.4,153282.0,300.0,113795868.0,151023.0,98.53,27.7,-10.0
2017-06-19,754.0,754.95,727.65,740.6,739.12,4642.0,459.0,3430997.0,1535.0,33.07,27.3,-13.4
2017-06-16,721.35,751.8,716.25,744.25,738.9,6203.0,505.0,4583403.0,2551.0,41.13,35.55,22.9
2017-06-15,716.8,729.05,716.65,720.85,722.03,2106.0,181.0,1520587.0,1060.0,50.33,12.4,4.05
2017-06-14,717.0,719.5,715.0,715.25,716.25,590.0,43.0,422586.0,474.0,80.34,4.5,-1.75
2017-06-13,718.4,721.85,715.0,717.3,718.0,1346.0,122.0,966427.0,683.0,50.74,6.85,-1.1
2017-06-12,712.7,718.0,704.0,715.1,711.94,1175.0,143.0,836527.0,558.0,47.49,14.0,2.4
2017-06-09,690.25,721.0,690.25,714.25,712.36,2418.0,176.0,1722490.0,915.0,37.84,30.75,24.0
2017-06-08,707.1,711.85,702.9,707.0,706.76,569.0,51.0,402145.0,217.0,38.14,8.95,-0.1
2017-06-07,706.9,711.15,705.0,706.1,707.1,1454.0,113.0,1028129.0,719.0,49.45,6.15,-0.8
2017-06-06,716.05,718.75,710.0,712.5,714.02,2135.0,171.0,1524429.0,1397.0,65.43,8.75,-3.55
2017-06-05,710.8,721.0,710.05,712.7,716.44,1367.0,131.0,979379.0,595.0,43.53,10.95,1.9
2017-06-02,719.9,720.8,708.0,710.8,714.91,2053.0,169.0,1467709.0,537.0,26.16,12.8,-9.1
